time,src,dst,protocol,info
2004-12-05 22:16:24.317453,0.0.0.0,255.255.255.255,DHCP,DHCP Event (ID: N/A)
2004-12-05 22:16:24.317748,192.168.0.1,192.168.0.10,DHCP,DHCP Event (ID: 192.168.0.1)
2004-12-05 22:16:24.387484,0.0.0.0,255.255.255.255,DHCP,DHCP Event (ID: 192.168.0.1)
2004-12-05 22:16:24.387798,192.168.0.1,192.168.0.10,DHCP,DHCP Event (ID: 192.168.0.1)
